0.508, 4.30648 -3.94151 -55.8535, 0 -0  0, 0 -0  0,  3.6765 -4.79221  -57.198
0.513,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.516,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.519,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.521,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.524,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.526,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.529,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.531,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.533,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.535,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.536,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.538,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.539,  3.03722 0.0351557  -51.7905,0 0 0,0 0 0,0.226866 -3.69192 -49.1225
0.542,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.543,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.544,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.545,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.558,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.559,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.561,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.563,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.565,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.566,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.568,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.569,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.571,0.883605 -1.15528 -47.1894,0 0 0,0 0 0,0.837863 -1.18859 -46.0541
0.577,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
0.579,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
0.582,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
0.583,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
0.584,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
0.585,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
0.586,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
0.586,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
0.587,   0.6363 -0.649289  -43.6734,0 0 0,0 0 0, 0.950122 -0.250055  -44.6489
